No Agent;;01/04/2025;02/04/2025;03/04/2025;04/04/2025;05/04/2025;06/04/2025;07/04/2025;08/04/2025;09/04/2025;10/04/2025;11/04/2025;12/04/2025;13/04/2025;14/04/2025;15/04/2025;16/04/2025;17/04/2025;18/04/2025;19/04/2025;20/04/2025;21/04/2025;22/04/2025;23/04/2025;24/04/2025;25/04/2025;26/04/2025;27/04/2025;28/04/2025;29/04/2025;30/04/2025;Statistiques de temps de travail;Temps de travail effectif pondéré planifié;Temps dispo (heures supp, congés, travail assimilé pris en compte);Temps disponible restant;Temps supplémentaire planifié;Temps supplémentaire autorisé;Temps contractuel;Temps de travail assimilé;Temps d'absence pour congés;Temps de travail effectif planifié
1;;RH;RH;RH;RH;N;N;N;RH;RH;RH;N;N;N;RH;RH;RH;RH;RH;RH;RH;N;N;RH;RH;RH;RH;RH;RH;RH;RH;;80:00:00;168:00:00;88:00:00;00:00:00;21:00:00;147:00:00;00:00:00;00:00:00;80:00:00
2;;N;N;RH;RH;RH;RH;RH;N;N;N;RH;RH;RH;N;N;RH;RH;RH;N;N;RH;RH;N;N;RH;RH;RH;N;N;RH;;130:00:00;167:00:00;37:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;130:00:00
4;;RH;RH;FC;M;M;M;RH;RH;M;M;M;M;M;RH;RH;S;S;RH;RH;RH;CA;CA;CA;CA;CA;RH;RH;J1;J1;J1;;100:00:00;132:00:00;32:00:00;00:00:00;20:00:00;147:00:00;07:00:00;28:00:00;100:00:00
5;;S;RH;RH;RH;S;S;J2;RH;RH;M;M;M;M;RH;RH;J1;J1;J1;RH;RH;RH;M;M;M;M;RH;RH;J2;J2;J2;;147:00:00;167:00:00;20:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;147:00:00
6;;J1;J1;J1;RH;RH;RH;M;M;M;M;M;RH;RH;CA;CA;CA;CA;CA;RH;RH;J1;J1;J1;RH;RH;S;S;RH;RH;RH;;109:00:00;132:00:00;23:00:00;00:00:00;20:00:00;147:00:00;00:00:00;35:00:00;109:00:00
7;;RH;S;S;S;RH;RH;S;S;S;S;RH;RH;RH;S;S;S;S;S;RH;RH;S;S;S;S;S;RH;RH;S;S;S;;140:00:00;167:00:00;27:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;140:00:00
8;;J2;J2;RH;RH;M;M;M;M;M;RH;RH;RH;RH;J1;J1;RH;RH;S;S;S;RH;RH;S;S;S;S;S;RH;RH;N;;141:00:00;167:00:00;26:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;141:00:00
9;;RH;RH;M;M;M;M;RH;RH;J1;J1;J1;RH;RH;M;M;M;RH;RH;S;S;J2;RH;RH;M;M;M;M;RH;RH;RH;;131:00:00;167:00:00;36:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;131:00:00
10;;M;M;M;M;RH;RH;J1;J1;RH;RH;RH;M;M;J2;RH;RH;M;M;M;M;M;RH;RH;J1;J1;RH;RH;S;S;RH;;141:00:00;167:00:00;26:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;141:00:00
11;;RH;RH;N;N;RH;RH;CA;CA;CA;CA;CA;RH;RH;M;M;M;M;M;RH;RH;S;S;RH;RH;N;N;N;RH;RH;S;;106:00:00;132:00:00;26:00:00;00:00:00;20:00:00;147:00:00;00:00:00;35:00:00;106:00:00
12;;M;M;M;RH;RH;RH;CA;CA;CA;CA;CA;RH;RH;M;M;RH;RH;CA;M;M;M;M;M;RH;RH;M;M;M;M;M;;105:00:00;125:00:00;20:00:00;00:00:00;20:00:00;147:00:00;00:00:00;42:00:00;105:00:00
13;;RH;RH;J2;J2;RH;RH;RH;J2;J2;J2;J2;RH;RH;RH;J2;J2;J2;J2;RH;RH;RH;J2;J2;J2;J2;RH;RH;RH;RH;RH;;140:00:00;167:00:00;27:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;140:00:00
3;;M;M;FC;J1;RH;RH;M;M;RH;RH;S;S;S;RH;RH;N;N;N;RH;RH;CA;CA;CA;CA;CA;RH;RH;M;M;M;;110:00:00;132:00:00;22:00:00;00:00:00;20:00:00;147:00:00;07:00:00;28:00:00;110:00:00

0_S_0 (30/30);(0 manquants);;;;;;;;;;;;;;;;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2
1_M_0 (30/30);(0 manquants);;;;;;;;;;;;;;;;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2
2_N_0 (16/16);(0 manquants);1/1;;;;;;;;;;;;;;;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1
3_J1_0 (11/11);(0 manquants);;;;;;;;;;;;;;;;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;1/1;1/1;1/1
4_J2_1 (12/12);(0 manquants);;;;;;;;;;;;;;;1/1;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;1/1;1/1;1/1
5_S_0 (15/15);(0 manquants);1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;;;;;;;;;;;;;;;
6_M_0 (45/45);(0 manquants);3/3;3/3;3/3;3/3;3/3;3/3;3/3;3/3;3/3;3/3;3/3;3/3;3/3;3/3;3/3;;;;;;;;;;;;;;;
7_N_0 (14/14);(0 manquants);;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;;;;;;;;;;;;;;;
8_J1_0 (11/11);(0 manquants);1/1;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;1/1;1/1;;;;;;;;;;;;;;;
