dataset,hexaly solver,,,,mathopt solver,,,
,bound,obj,iteration_time,GAP_hexaky,primal_bound,dual_bound,solve_time,GAP-mathopt
1,0,0,0,,0,0,0.381695,
1,10000,10000,1,0.000000,10000,10000,0.542322,0.000000
1,0,0,69,,0,0,0.653185,
1,0,0,0,,0,0,0.403942,
1,149,211,507,0.293839,154,149,577.040771,0.032468
2,0,0,0,,8e+06,8e+06,0.212115,0.000000
2,10000,10000,0,0.000000,10000,10000,0.236859,0.000000
2,2800,3400,289,0.176471,2600,2600,92.017480,0.000000
2,3600,5400,203,0.333333,4600,1000,340.023785,0.782609
2,3219.76,5473,87,0.411701,4604,1000,147.014888,0.782798
3,0,0,0,,1.2e+07,1.2e+07,0.188055,0.000000
3,0,0,3,,0,0,0.454051,
3,0,0,21,,0,0,0.413472,
3,0,0,0,,0,0,0.307707,
3,528,528,83,0.000000,528,528,18.936907,0.000000
4,0,0,0,,1.2e+07,1.2e+07,0.244785,0.000000
4,0,0,1,,0,0,0.521449,
4,1220,1220,22,0.000000,1220,0,289.016124,1.000000
4,2220,2220,43,0.000000,2220,0,203.025871,1.000000
4,2805,2812,513,0.002489,2807,582,87.025481,0.792661
5,0,0,1,,1e+07,1e+07,0.371714,0.000000
5,0,0,5,,0,0,0.705162,
5,0,0,182,,0,0,0.697491,
5,0,0,0,,0,0,0.568687,
5,1121,1172,390,0.043515,1121,1121,14.510247,0.000000
6,0,0,1,,0,0,0.281588,
6,10000,10000,1,0.000000,10000,10000,0.466167,0.000000
6,0,200,288,1.000000,0,0,0.483451,
6,0,0,11,,0,0,0.359974,
6,170,225,278,0.244444,152,37,578.046172,0.756579
7,0,0,0,,0,0,0.016276,
7,0,0,0,,0,0,0.031374,
7,5400,5400,0,0.000000,5400,5400,0.022533,0.000000
7,8400,8400,0,0.000000,8400,8400,0.024755,0.000000
7,8408,8408,0,0.000000,8408,8408,0.029131,0.000000
8,0,0,0,,0,0,0.013597,
8,0,0,0,,0,0,0.008193,
8,1000,1000,0,0.000000,1000,1000,0.008155,0.000000
8,2000,2000,0,0.000000,2000,2000,0.009327,0.000000
8,2124,2124,0,0.000000,2124,2124,0.007619,0.000000
