No Agent;;01/04/2025;02/04/2025;03/04/2025;04/04/2025;05/04/2025;06/04/2025;07/04/2025;08/04/2025;09/04/2025;10/04/2025;11/04/2025;12/04/2025;13/04/2025;14/04/2025;15/04/2025;16/04/2025;17/04/2025;18/04/2025;19/04/2025;20/04/2025;21/04/2025;22/04/2025;23/04/2025;24/04/2025;25/04/2025;26/04/2025;27/04/2025;28/04/2025;29/04/2025;30/04/2025
30;;ZA;RH;RH;ZA;RH;RH;ZA;ZA;ZA;RH;RH;RH;ZA;RH;RH;ZA;RH;RH;ZA;RH;RH;RH;ZA;ZA;RH;RH;ZB;RH;RH;RH
31;;ZA;RH;RH;RH;ZA;RH;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH;RH;ZA;RH;RH;ZB;RH;RH;RH;ZA;ZA;ZA;RH
32;;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;RH
33;;RH;RH;ZA;ZA;RH;RH;RH;RH;ZB;RH;RH;RH;RH;RH;ZA;RH;RH;ZA;RH;RH;ZB;RH;RH;RH;RH;ZA;ZA;ZA;ZA;RH
34;;TSY;TSY;TSY;TSY;RH;RH;TSY;TSY;ZA;RH;RH;ZA;RH;RH;RH;ZA;ZA;RH;RH;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;RH;RH
35;;ZA;RH;RH;RH;RH;RH;ZA;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;ZA;RH;RH;RH;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH
36;;CLD;CLD;CLD;CLD;ZB;RH;RH;RH;RH;RH;RH;RH;ZB;RH;RH;RH;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;ZB;ZB
37;;ZA;RH;RH;ZA;RH;RH;ZA;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;RH;RH;ZA;ZA;RH;RH;RH;ZA;ZA;RH
38;;RH;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;ZB;ZB;RH;RH;RH;ZB;ZB;RH;RH
39;;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD
40;;RH;RH;RH;ZB;ZB;RH;RH;RH;ZA;ZA;ZA;RH;RH;ZB;RH;RH;RH;ZB;ZB;RH;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH
41;;ZA;RH;RH;RH;ZA;ZA;ZA;RH;RH;ZA;RH;RH;ZA;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;RH;ZA;ZA;RH;RH;RH;RH;ZA
42;;ZA;ZA;RH;RH;RH;RH;RH;RH;ZA;ZA;ZA;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;RH;ZA;RH;RH;RH;ZA
43;;RH;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH
44;;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;ZA;RH;RH;ZA;RH
45;;RH;ZA;RH;RH;ZB;RH;RH;RH;ZA;RH;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;RH;ZA;RH;RH;ZB;RH;RH;RH;RH;ZA
46;;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;ZA;ZA;ZA;RH;RH;RH;RH;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;RH;RH;ZA;RH

