No Agent;;01/04/2025;02/04/2025;03/04/2025;04/04/2025;05/04/2025;06/04/2025;07/04/2025;08/04/2025;09/04/2025;10/04/2025;11/04/2025;12/04/2025;13/04/2025;14/04/2025;15/04/2025;16/04/2025;17/04/2025;18/04/2025;19/04/2025;20/04/2025;21/04/2025;22/04/2025;23/04/2025;24/04/2025;25/04/2025;26/04/2025;27/04/2025;28/04/2025;29/04/2025;30/04/2025;Statistiques de temps de travail;Temps de travail effectif pondéré planifié;Temps dispo (heures supp, congés, travail assimilé pris en compte);Temps disponible restant;Temps supplémentaire planifié;Temps supplémentaire autorisé;Temps contractuel;Temps de travail assimilé;Temps d'absence pour congés;Temps de travail effectif planifié
1;;RH;RH;RH;RH;J1;J2;J1;J3;RH;RH;RH;RH;RH;J1;J2;J2;J2;RH;RH;RH;J2;J2;J2;J2;RH;RH;RH;J4;J4;J1;150:00:00;167:00:00;17:00:00;03:00:00;20:00:00;147:00:00;00:00:00;00:00:00;150:00:00
2;;J1;J1;RH;RH;J2;J1;RH;RH;J3;J1;RH;RH;RH;J1;J1;J1;RH;RH;RH;RH;J3;J1;J1;J1;RH;RH;RH;J2;J2;J2;160:00:00;167:00:00;07:00:00;13:00:00;20:00:00;147:00:00;00:00:00;00:00:00;160:00:00

J1_1_PLAN_SKILL_000_0 (11/22);(11 manquants);1/1;1/1;0/1;0/1;;;1/1;0/1;0/1;1/1;0/1;;;1/1;1/1;1/1;0/1;0/1;;;0/1;1/1;1/1;1/1;0/1;;;0/1;0/1;1/1
J2_1_PLAN_SKILL_000_0 (8/18);(10 manquants);0/1;0/1;0/1;0/1;;;;0/1;0/1;0/1;0/1;;;;1/1;1/1;1/1;0/1;;;;1/1;1/1;1/1;0/1;;;;1/1;1/1
J1_1_PLAN_SKILL_000_5 (1/4);(3 manquants);;;;;;;0/1;;;;;;;1/1;;;;;;;0/1;;;;;;;0/1;;
J2_1_PLAN_SKILL_000_5 (2/4);(2 manquants);;;;;;;0/1;;;;;;;0/1;;;;;;;1/1;;;;;;;1/1;;
J3_1_PLAN_SKILL_000_5 (1/4);(3 manquants);;;;;;;0/1;;;;;;;0/1;;;;;;;1/1;;;;;;;0/1;;
J3_2_PLAN_SKILL_001_0 (2/36);(34 manquants);0/2;0/2;0/2;0/2;;;;1/2;1/2;0/2;0/2;;;;0/2;0/2;0/2;0/2;;;;0/2;0/2;0/2;0/2;;;;0/2;0/2
