No Agent;;01/04/2025;02/04/2025;03/04/2025;04/04/2025;05/04/2025;06/04/2025;07/04/2025;08/04/2025;09/04/2025;10/04/2025;11/04/2025;12/04/2025;13/04/2025;14/04/2025;15/04/2025;16/04/2025;17/04/2025;18/04/2025;19/04/2025;20/04/2025;21/04/2025;22/04/2025;23/04/2025;24/04/2025;25/04/2025;26/04/2025;27/04/2025;28/04/2025;29/04/2025;30/04/2025;Statistiques de temps de travail;Temps de travail effectif pondéré planifié;Temps dispo (heures supp, congés, travail assimilé pris en compte);Temps disponible restant;Temps supplémentaire planifié;Temps supplémentaire autorisé;Temps contractuel;Temps de travail assimilé;Temps d'absence pour congés;Temps de travail effectif planifié
1;;RH;RH;ZB;ZB;RH;RH;RH;ZA;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZA;RH;RH;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;;132:00:00;147:00:00;15:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;132:00:00
2;;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;ZA;ZA;RH;RH;RH;ZB;RH;RH;RH;ZA;ZA;RH;RH;RH;ZB;RH;RH;RH;RH;RH;ZA;;108:00:00;147:00:00;39:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;108:00:00
3;;ZA;ZA;RH;RH;RH;RH;RH;ZA;RH;RH;RH;ZA;ZA;CA;CA;CA;CA;CA;RH;RH;ZB;ZB;RH;RH;RH;ZA;ZA;RH;RH;RH;;108:00:00;112:00:00;04:00:00;00:00:00;00:00:00;147:00:00;00:00:00;35:00:00;108:00:00
4;;ZB;ZB;RH;RH;RH;ZB;RH;RH;RH;RH;ZB;ZB;RH;CA;CA;CA;CA;CA;RH;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;ZB;ZB;;108:00:00;112:00:00;04:00:00;00:00:00;00:00:00;147:00:00;00:00:00;35:00:00;108:00:00
5;;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;RH;RH;CA;CA;CA;CA;CA;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;ZB;RH;RH;;108:00:00;112:00:00;04:00:00;00:00:00;00:00:00;147:00:00;00:00:00;35:00:00;108:00:00
6;;RH;ZB;ZB;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB;RH;RH;RH;RH;ZB;;144:00:00;147:00:00;03:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;144:00:00
7;;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;RH;RH;CA;CA;CA;CA;CA;RH;RH;RH;RH;RH;;108:00:00;119:00:00;11:00:00;00:00:00;00:00:00;147:00:00;00:00:00;28:00:00;108:00:00
8;;RH;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;ZA;ZA;CA;CA;CA;CA;CA;RH;RH;RH;RH;ZB;;108:00:00;119:00:00;11:00:00;00:00:00;00:00:00;147:00:00;00:00:00;28:00:00;108:00:00
9;;ZA;ZA;RH;RH;RH;RH;ZA;RH;RH;RH;RH;ZA;ZA;RH;RH;ZB;RH;RH;RH;ZA;CA;CA;CA;CA;CA;RH;RH;ZB;ZB;RH;;108:00:00;119:00:00;11:00:00;00:00:00;00:00:00;147:00:00;00:00:00;28:00:00;108:00:00
10;;ZB;ZB;RH;RH;RH;ZB;RH;RH;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;;36:00:00;42:00:00;06:00:00;00:00:00;00:00:00;147:00:00;00:00:00;105:00:00;36:00:00
