Global statistics
G0   ; Need objective                                         ; 1220.00
G1   ; Need time                                              ; 2730:0:0
G2   ; Undercovered time                                      ; 103:0:0
G3   ; Overcovered time                                       ; 0:0:0
G4   ; Undercovered metavacations number                      ; 9
G5   ; Overcovered metavacations number                       ; 0
G6   ; Metavacations number                                   ; 90
G7   ; Max undercoverage                                      ; 1
G8   ; Total undercoverage                                    ; 9

