No Agent;;01/04/2025;02/04/2025;03/04/2025;04/04/2025;05/04/2025;06/04/2025;07/04/2025;08/04/2025;09/04/2025;10/04/2025;11/04/2025;12/04/2025;13/04/2025;14/04/2025;15/04/2025;16/04/2025;17/04/2025;18/04/2025;19/04/2025;20/04/2025;21/04/2025;22/04/2025;23/04/2025;24/04/2025;25/04/2025;26/04/2025;27/04/2025;28/04/2025;29/04/2025;30/04/2025
1;;ZB;RH;RH;RH;RH;RH;RH;ZA;RH;RH;ZB;ZB;RH;RH;RH;RH;RH;ZB;RH;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;RH;RH
2;;RH;ZA;RH;RH;ZA;RH;RH;RH;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;RH;ZA;RH;RH;ZB;RH
3;;ZB;RH;RH;RH;RH;RH;ZA;RH;RH;ZB;RH;RH;RH;CA;CA;CA;CA;CA;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH
4;;ZB;ZB;RH;RH;RH;ZB;RH;RH;RH;ZB;ZB;ZB;RH;CA;CA;CA;CA;CA;RH;RH;RH;ZB;ZB;RH;RH;RH;ZB;RH;RH;RH
5;;RH;RH;RH;ZB;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;CA;CA;CA;CA;CA;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;ZB
6;;RH;ZB;ZB;ZB;ZB;RH;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;RH
7;;RH;RH;ZB;RH;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;RH;RH;ZB;ZB;ZB;RH;CA;CA;CA;CA;CA;RH;RH;ZB;RH;RH
8;;ZB;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;ZA;ZA;ZA;RH;RH;RH;ZA;ZA;RH;CA;CA;CA;CA;CA;RH;RH;RH;RH;ZA
9;;RH;RH;ZA;ZA;ZA;RH;RH;ZA;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZA;ZA;CA;CA;CA;CA;CA;RH;RH;RH;RH;RH
10;;ZB;RH;RH;RH;ZB;ZB;RH;RH;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD
