No Agent;;01/04/2025;02/04/2025;03/04/2025;04/04/2025;05/04/2025;06/04/2025;07/04/2025;08/04/2025;09/04/2025;10/04/2025;11/04/2025;12/04/2025;13/04/2025;14/04/2025;15/04/2025;16/04/2025;17/04/2025;18/04/2025;19/04/2025;20/04/2025;21/04/2025;22/04/2025;23/04/2025;24/04/2025;25/04/2025;26/04/2025;27/04/2025;28/04/2025;29/04/2025;30/04/2025;Statistiques de temps de travail;Temps de travail effectif pondéré planifié;Temps dispo (heures supp, congés, travail assimilé pris en compte);Temps disponible restant;Temps supplémentaire planifié;Temps supplémentaire autorisé;Temps contractuel;Temps de travail assimilé;Temps d'absence pour congés;Temps de travail effectif planifié
1;;RH;RH;RH;RH;N;N;N;RH;RH;RH;N;N;N;RH;RH;RH;RH;RH;RH;RH;N;N;RH;RH;RH;RH;RH;N;N;RH;100:00:00;168:00:00;68:00:00;00:00:00;21:00:00;147:00:00;00:00:00;00:00:00;100:00:00
2;;RH;N;N;RH;RH;RH;RH;N;N;N;RH;RH;RH;N;N;RH;RH;RH;N;N;RH;RH;RH;RH;N;N;N;RH;RH;RH;120:00:00;167:00:00;47:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;120:00:00
4;;RH;RH;FC;S;S;S;RH;RH;J1;M;RH;RH;RH;RH;J1;S;J1;J1;RH;RH;CA;CA;CA;CA;CA;RH;RH;M;M;M;96:00:00;132:00:00;36:00:00;00:00:00;20:00:00;147:00:00;07:00:00;28:00:00;96:00:00
5;;S;RH;RH;RH;M;M;M;J1;M;RH;RH;S;S;RH;RH;N;N;N;RH;RH;J2;S;S;S;RH;RH;RH;RH;RH;S;127:00:00;167:00:00;40:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;127:00:00
6;;M;J1;M;RH;RH;RH;S;S;S;S;S;RH;RH;CA;CA;CA;CA;CA;RH;RH;J1;S;J1;M;M;RH;RH;RH;M;M;114:00:00;132:00:00;18:00:00;02:00:00;20:00:00;147:00:00;00:00:00;35:00:00;114:00:00
7;;RH;RH;M;J1;RH;RH;M;M;M;M;M;RH;RH;J1;M;J1;RH;RH;S;S;S;J1;RH;RH;M;M;M;M;RH;RH;138:00:00;167:00:00;29:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;138:00:00
8;;J1;RH;RH;M;M;M;J2;J2;RH;RH;RH;M;M;M;M;M;RH;RH;RH;RH;M;M;M;J1;S;RH;RH;J2;S;S;148:00:00;167:00:00;19:00:00;01:00:00;20:00:00;147:00:00;00:00:00;00:00:00;148:00:00
9;;M;M;RH;RH;M;M;J1;RH;RH;M;M;M;M;M;RH;RH;S;S;RH;RH;RH;RH;S;S;S;S;S;RH;RH;N;132:00:00;167:00:00;35:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;132:00:00
10;;M;M;M;M;RH;RH;M;M;RH;RH;M;M;M;J2;RH;RH;M;M;M;M;RH;RH;N;N;RH;RH;RH;S;S;RH;135:00:00;167:00:00;32:00:00;00:00:00;20:00:00;147:00:00;00:00:00;00:00:00;135:00:00
11;;RH;S;S;J2;RH;RH;CA;CA;CA;CA;CA;RH;RH;RH;RH;RH;S;S;S;S;S;RH;RH;M;J1;S;S;S;RH;RH;97:00:00;132:00:00;35:00:00;00:00:00;20:00:00;147:00:00;00:00:00;35:00:00;97:00:00
12;;RH;M;J1;M;RH;RH;CA;CA;CA;CA;CA;RH;RH;S;S;S;RH;CA;M;M;M;M;M;RH;RH;M;M;RH;RH;RH;94:00:00;125:00:00;31:00:00;00:00:00;20:00:00;147:00:00;00:00:00;42:00:00;94:00:00
13;;J2;J2;J2;RH;RH;RH;RH;RH;J2;J2;J2;RH;RH;RH;RH;J2;J2;J2;RH;RH;RH;J2;J2;J2;J2;RH;RH;RH;J2;J2;150:00:00;167:00:00;17:00:00;03:00:00;20:00:00;147:00:00;00:00:00;00:00:00;150:00:00
3;;RH;RH;FC;N;RH;RH;RH;M;M;J1;J1;RH;RH;M;M;M;M;M;RH;RH;CA;CA;CA;CA;CA;RH;RH;J1;J1;J1;109:00:00;132:00:00;23:00:00;00:00:00;20:00:00;147:00:00;07:00:00;28:00:00;109:00:00

S_2_PLAN_SKILL_000_0 (30/30);(0 manquants);;;;;;;;;;;;;;;;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2
M_2_PLAN_SKILL_000_0 (30/30);(0 manquants);;;;;;;;;;;;;;;;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2
N_1_PLAN_SKILL_000_0 (15/15);(0 manquants);;;;;;;;;;;;;;;;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1
J1_1_PLAN_SKILL_000_0 (11/11);(0 manquants);;;;;;;;;;;;;;;;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;1/1;1/1;1/1
J2_1_PLAN_SKILL_000_1 (11/11);(0 manquants);;;;;;;;;;;;;;;;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;1/1;1/1;1/1
S_1_PLAN_SKILL_000_0 (15/15);(0 manquants);1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;;;;;;;;;;;;;;;
M_3_PLAN_SKILL_000_0 (45/45);(0 manquants);3/3;3/3;3/3;3/3;3/3;3/3;3/3;3/3;3/3;3/3;3/3;3/3;3/3;3/3;3/3;;;;;;;;;;;;;;;
N_1_PLAN_SKILL_000_0 (14/14);(0 manquants);;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;;;;;;;;;;;;;;;
J1_1_PLAN_SKILL_000_0 (11/11);(0 manquants);1/1;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;1/1;1/1;;;;;;;;;;;;;;;
J2_1_PLAN_SKILL_000_1 (10/10);(0 manquants);1/1;1/1;1/1;1/1;;;1/1;1/1;1/1;1/1;1/1;;;1/1;;;;;;;;;;;;;;;;
