dataset primal_bound_1 primal_bound_2 primal_bound_3 primal_bound_4 primal_bound_5 dual_bound_1 dual_bound_2 dual_bound_3 dual_bound_4 dual_bound_5 solve_time_1 solve_time_2 solve_time_3 solve_time_4 solve_time_5
1 0 10000 0 0 156 0 10000 0 0 149 0.319161 0.459469 0.400534 0.359027 577.042
2 0 10000 3400 5400 5424 0 10000 3200 3000 2875 0.217411 0.35284 289.072 202.163 87.0233
3 0 0 0 0 528 0 0 0 0 528 0.18216 0.50515 0.476868 0.344892 28.93
4 0 0 1220 2220 2807 0 0 1140 2160 2726 0.224055 0.577218 289.038 202.034 86.2998
5 0 0 0 0 1125 0 0 0 0 1125 0.346691 1.08377 1.01025 0.763976 43.7142
6 0 10000 0 0 172 0 10000 0 0 169 0.249267 0.470915 0.39213 0.333476 577.044
7 0 0 5400 8400 8408 0 0 5400 8400 8408 0.0164649 0.0269897 0.0224512 0.0226201 0.0276754
8 0 0 1000 2000 2124 0 0 1000 2000 2124 0.0144825 0.00922706 0.00951199 0.00819622 0.00737214
