dataset primal_bound_1 primal_bound_2 primal_bound_3 primal_bound_4 primal_bound_5 dual_bound_1 dual_bound_2 dual_bound_3 dual_bound_4 dual_bound_5 solve_time_1 solve_time_2 solve_time_3 solve_time_4 solve_time_5
1 0 10000 0 0 156 0 10000 0 0 149 319.160861ms 459.469017ms 400.534122ms 359.027432ms 9m37.041692883s
2 0 10000 3400 5400 5424 0 10000 3200 3000 2875 217.411462ms 352.839504ms 4m49.071999635s 3m22.162527737s 1m27.023289231s
3 0 0 0 0 528 0 0 0 0 528 182.159655ms 505.149583ms 476.867989ms 344.891804ms 28.929970927s
4 0 0 1220 2220 2807 0 0 1140 2160 2726 224.055321ms 577.217527ms 4m49.03822157s 3m22.034408891s 1m26.299761431s
5 0 0 0 0 1125 0 0 0 0 1125 346.691045ms 1.083765479s 1.010250075s 763.976244ms 43.71417344s
6 0 10000 0 0 172 0 10000 0 0 169 249.267309ms 470.915127ms 392.13032ms 333.47553ms 9m37.04435082s
7 0 0 5400 8400 8408 0 0 5400 8400 8408 16.464882ms 26.989653ms 22.451182ms 22.620067ms 27.675388ms
8 0 0 1000 2000 2124 0 0 1000 2000 2124 14.482535ms 9.227058ms 9.511992ms 8.196218ms 7.37214ms
