dataset bound_1 bound_2 bound_3 bound_4 bound_5 obj_1 obj_2 obj_3 obj_4 obj_5 iteration_time_1 iteration_time_2 iteration_time_3 iteration_time_4 iteration_time_5
1 0 10000 0 0 149 0 10000 0 0 211 0 1 69 0 507
2 0 10000 2800 3600 3219.76 0 10000 3400 5400 5473 0 0 289 203 87
3 0 0 0 0 528 0 0 0 0 528 0 3 21 0 83
4 0 0 1220 2220 2805 0 0 1220 2220 2812 0 1 22 43 513
5 0 0 0 0 1121 0 0 0 0 1172 1 5 182 0 390
6 0 10000 0 0 170 0 10000 200 0 225 1 1 288 11 278
7 0 0 5400 8400 8408 0 0 5400 8400 8408 0 0 0 0 0
8 0 0 1000 2000 2124 0 0 1000 2000 2124 0 0 0 0 0
